"Technology Type","TRACER Level","Category","Question ID","Question Text","Question Type","Dropdown / Selection Options","Checklist Items (Yes sub-items)","Tooltip / Hint"
"Food, Food Ingredients and Beverages","TRACER Level 1","Technology Development Status","tech_dev_0_1","Concept Development Completed or Prior Art Search Conducted","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 1","Market and Pre-commercialization Preparedness","market_0_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Technology Development Status","tech_dev_0_2","Initial Experiments Conducted in Laboratory (Benchscale)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Technology Development Status","tech_dev_0_3","First Prototype/Formulation Created for Sensory Analysis","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Technology Development Status","tech_dev_0_11","Internal/Preliminary Sensory Screening Conducted","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 2","Market and Pre-commercialization Preparedness","market_0_25","Initial Assessment on the Potential User","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 3","Technology Development Status","tech_dev_0_4","Formulation for Highest Sensory Acceptability Optimized","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 3","Technology Development Status","tech_dev_0_12","Proximate Analysis Conducted to Assess Chemical Properties","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Technology Development Status","tech_dev_0_5","Product Validated Through Target Consumer Sensory Testing","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Technology Development Status","tech_dev_0_13","Positive Proximate Analysis Confirmed","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Technology Development Status","tech_dev_0_14","Shelf-life Established At least Under Laboratory Conditions","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_0","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Food, Food Ingredients and Beverages","TRACER Level 5","Technology Development Status","tech_dev_0_6","Pilot-scale formulation developed with an established production manual for scaled-up manufacturing.","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
"Food, Food Ingredients and Beverages","TRACER Level 5","Market and Pre-commercialization Preparedness","market_0_26","Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_0","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Technology Development Status","tech_dev_0_7","Product Tested for Scaled-up Pilot Production","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Technology Development Status","tech_dev_0_15","Allergen Profiling/Screening Conducted","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Market and Pre-commercialization Preparedness","market_0_27","Initial Market Tests Conducted (i.e.: selling in Trade Shows, Limited Release)","checkbox","","",""
"Food, Food Ingredients and Beverages","TRACER Level 6","Market and Pre-commercialization Preparedness","market_0_28","Records of Initial Sales from Market Testing","checkbox","","",""
