Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9
Technology Type,TRACER Level,Category,Question Text,Question Type,Dropdown / Selection Options,Checklist Items (Yes sub-items),Tooltip / Hint
"Food, Food Ingredients and Beverages",TRACER Level 1,Technology Development Status,Concept Development Completed or Prior Art Search Conducted,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 1,Market and Pre-commercialization Preparedness,Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 2,Technology Development Status,Initial Experiments Conducted in Laboratory (Benchscale),checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 2,Technology Development Status,First Prototype/Formulation Created for Sensory Analysis,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 2,Technology Development Status,Internal/Preliminary Sensory Screening Conducted,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 2,Market and Pre-commercialization Preparedness,Initial Assessment on the Potential User,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 3,Technology Development Status,Formulation for Highest Sensory Acceptability Optimized,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 3,Technology Development Status,Proximate Analysis Conducted to Assess Chemical Properties,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 4,Technology Development Status,Product Validated Through Target Consumer Sensory Testing,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 4,Technology Development Status,Positive Proximate Analysis Confirmed,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 4,Technology Development Status,Shelf-life Established At least Under Laboratory Conditions,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 4,Industry Validation and Adoption Status,Industry Partner for Industry Testing,dropdown,"? No Industry Partner Identified
? Identified Potential Industry Partner ? satisfies TRL 4
? Initial Meeting with Potential Industry Partners ? satisfies TRL 5
? Signed Agreement with Industry Partner for Industry Testing ? satisfies TRL 6
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 6",,
"Food, Food Ingredients and Beverages",TRACER Level 5,Technology Development Status,Pilot-scale formulation developed with an established production manual for scaled-up manufacturing.,checkbox,,,"Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10? to 100? increase in production volume relative to laboratory scale."
"Food, Food Ingredients and Beverages",TRACER Level 5,Market and Pre-commercialization Preparedness,"Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)",checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 5,Market and Pre-commercialization Preparedness,With Available Pre-commercialization Documents,multi-conditional,"? No
? Yes
? Not Required/Optional Only (Privately Funded)","? Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
? Initial Business Model Canvas (BMC) Accomplished
? Freedom to Operate (FTO) Report Prepared
? IP Valuation Prepared
? Technology Commercialization Plan Prepared",
"Food, Food Ingredients and Beverages",TRACER Level 6,Technology Development Status,Product Tested for Scaled-up Pilot Production,checkbox,,,
"Food, Food Ingredients and Beverages",TRACER Level 6,Technology Development Status,Allergen Profiling/Screening Conducted,checkbox,,,
